Table,Abbreviation,Description,Module,Activity code,TablesMappedToModelOnly,TablesMappedToSubModel,linkedTablewithDescription,ListOfKeysWithDuplicate,ListOfKeysWithNoplicate,ListOfKeys
AMETUTI,AME,Trade profile,Supervisor,,,,"ABIPRFUSR  (BI user profile  ) , AFCTFCT  (User function profile  ) , APROFIL  (User profile  ) , AMETUTI  (Trade profile  )",,CODMET(Profession code) +   ,CODMET(Profession code) +   
AMIGKEY,AMY,Keys,Supervisor,,,,ADOSSIER  (Folder table  ),,DOSSIER(Folder) +   IDENT(Identifier) +   ,DOSSIER(Folder) +   IDENT(Identifier) +   
SEBPC,SEB,Payment gateway customer data,Common Data,SEPP,,,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , BPARTNER  (Business partner  ) , SEPRC  (Payment gateway setup  )",,BPCNUM(Customer) +   ACCNCKNAM(Account nickname) +   ,BPCNUM(Customer) +   ACCNCKNAM(Account nickname) +   
AMOTCLE,AMC,Help key-words,Supervisor,,,,ADOCFLD  (Field documentation  ),__||__IDENT1(Identifier 1) +   IDENT2(Identifier 2) +   ,TYPZON(Type) +   IDENT1(Identifier 1) +   IDENT2(Identifier 2) +   __||__ ,TYPZON(Type) +   IDENT1(Identifier 1) +   IDENT2(Identifier 2) +    __||__   IDENT1(Identifier 1) +   IDENT2(Identifier 2) +   
AMOULIN,AI0,Migration process,Supervisor,,,,ATABLE  (Table dictionary  ),__||__,CODE(Code) +   __||__ INDICEM(Index) +   ,CODE(Code) +    __||__   INDICEM(Index) +   
SETXN,SEX,Credit card transactions,Common Data,SEPP,,,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , BPCUSTOMER  (Customers  )",TXNDATTIM(Txn date time) +   REQRSP(Response) +   TXNID(Transaction) +   __||__REF2(Reference 2) +   TXNDATTIM(Txn date time) +   REQRSP(Response) +   ,__||__ ,TXNDATTIM(Txn date time) +   REQRSP(Response) +   TXNID(Transaction) +    __||__   REF2(Reference 2) +   TXNDATTIM(Txn date time) +   REQRSP(Response) +   
AMOULIN1,AI1,Migration plan,Supervisor,,,,ADOSSIER  (Folder table  ),,PLAN(Plan) +   ,PLAN(Plan) +   
AMOULIN2,AI2,Migration plan detail,Supervisor,,,,,,PLAN(Plan) +   CODE(Code) +   ,PLAN(Plan) +   CODE(Code) +   
SINVOICE,SIH,Sales invoices,Common Data,,Sales,"Quotation,Sales Invoice","TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , WAREHOUSE  (Warehouses  ) , BPARTNER  (Business partner  ) , BANK  (Bank accounts  ) , GTYPACCENT  (Document types  ) , GLED  (Ledger  ) , TABVAT  (Tax code table  ) , GJOURNAL  (Journal codes  ) , TABVACBPR  (BP tax rule table  ) , PIMPL  (  ) , TABPAYTERM  (Payment term table  ) , MANDATE  (Mandates  ) , FACTOR  (Factors  ) , TABDEPAGIO  (Early discount/late charge table  ) , TABSIVTYP  (Customer invoice type table  )",__||__BPR(BP) +   BPRVCR(Source document) +   __||____||__ACCDAT(Accounting date) +   BPR(BP) +   __||__BPRFCT(Factor) +   FCTVCR(Receipt) +   FCTVCRFLG(Validated receipt) +   __||____||__STA(Status) +   ORIMOD(Source module) +   INVTYP(Invoice category) +   NUM(Document no.) +   __||__CPY(Company) +   EECNUMDEB(EU Intrastat) +   ACCDAT(Accounting date) +   __||__RCRNUM(Recurring number) +   RCRDAT(Recurrence date) +   __||__BVRREFNUM(Reference number) +   ,NUM(Document no.) +   __||__ __||__ GTE(Entry type) +   NUM(Document no.) +   __||__ __||__ __||__ CUR(Currency) +   BPR(BP) +   NUM(Document no.) +   __||__ __||__ __||__ __||__ ,NUM(Document no.) +    __||__   BPR(BP) +   BPRVCR(Source document) +    __||__   GTE(Entry type) +   NUM(Document no.) +    __||__   ACCDAT(Accounting date) +   BPR(BP) +    __||__   BPRFCT(Factor) +   FCTVCR(Receipt) +   FCTVCRFLG(Validated receipt) +    __||__   CUR(Currency) +   BPR(BP) +   NUM(Document no.) +    __||__   STA(Status) +   ORIMOD(Source module) +   INVTYP(Invoice category) +   NUM(Document no.) +    __||__   CPY(Company) +   EECNUMDEB(EU Intrastat) +   ACCDAT(Accounting date) +    __||__   RCRNUM(Recurring number) +   RCRDAT(Recurrence date) +    __||__   BVRREFNUM(Reference number) +   
AMSK,AMK,Screen dictionary,Supervisor,,,,"ACTIV  (Activity codes  ) , ATABLE  (Table dictionary  ) , AMSK  (Screen dictionary  ) , AURL  (Definition of URL  ) , APTLVW  (Dashboard views  ) , ASTYLE  (Presentation styles  )",__||__ABRMSK(Screen abbreviation) +   ,CODMSK(Screen code) +   __||__ ,CODMSK(Screen code) +    __||__   ABRMSK(Screen abbreviation) +   
AMSKACT,AMA,Action-object assignment table,Supervisor,,,,"ACTION  (Action dictionary  ) , AMSK  (Screen dictionary  )",__||__,TYPAFF(Assignment type) +   CODAFF(Assignment code) +   CODZON(Field code) +   TYPACT(Action type) +   NOACT(Order no.) +   __||__ CODAFF(Assignment code) +   CODZON(Field code) +   TYPACT(Action type) +   NOACT(Order no.) +   TYPAFF(Assignment type) +   ,TYPAFF(Assignment type) +   CODAFF(Assignment code) +   CODZON(Field code) +   TYPACT(Action type) +   NOACT(Order no.) +    __||__   CODAFF(Assignment code) +   CODZON(Field code) +   TYPACT(Action type) +   NOACT(Order no.) +   TYPAFF(Assignment type) +   
AMSKPAR,AMP,Action-object parameters,Supervisor,,,,"ACTCODPAR  (Action parameters  ) , AMSK  (Screen dictionary  )",__||__CODAFF(Assignment code) +   CODZON(Field code) +   ,TYPAFF(Assignment type) +   CODAFF(Assignment code) +   CODZON(Field code) +   CODPAR(Parameter code) +   __||__ ,TYPAFF(Assignment type) +   CODAFF(Assignment code) +   CODZON(Field code) +   CODPAR(Parameter code) +    __||__   CODAFF(Assignment code) +   CODZON(Field code) +   
AMSKZON,AMZ,Screen field dictionary,Supervisor,,,,"ACTIV  (Activity codes  ) , ATYPE  (Data types  ) , ACCCOD  (Access codes  ) , ACTL  (Control tables  ) , AMSK  (Screen dictionary  ) , ASTYLE  (Presentation styles  ) , ASTYLEC  (Conditional styles  )",__||____||____||__,CODMSK(Screen code) +   CODZON(Field code) +   __||__ CODMSK(Screen code) +   NUMBLOC(Block code) +   NOZONE(Field number) +   CODZON(Field code) +   __||__ CODTYP(Data type) +   CODMSK(Screen code) +   CODZON(Field code) +   __||__ CODZON(Field code) +   CODMSK(Screen code) +   ,CODMSK(Screen code) +   CODZON(Field code) +    __||__   CODMSK(Screen code) +   NUMBLOC(Block code) +   NOZONE(Field number) +   CODZON(Field code) +    __||__   CODTYP(Data type) +   CODMSK(Screen code) +   CODZON(Field code) +    __||__   CODZON(Field code) +   CODMSK(Screen code) +   
ANAVCRE,ANI,Navigation,Supervisor,,,,"AFONCTION  (Function dictionary  ) , AOBJET  (Basic objects  ) , ANAVIG  (Navigation  )",__||__,COD(Navigation code) +   LIG(Line number) +   __||__ FNC(Starting function) +   OBJ(Arrival object) +   LIG(Line number) +   ,COD(Navigation code) +   LIG(Line number) +    __||__   FNC(Starting function) +   OBJ(Arrival object) +   LIG(Line number) +   
ANAVFIL,ANH,Navigation,Supervisor,,,,"AFONCTION  (Function dictionary  ) , AOBJET  (Basic objects  ) , ANAVIG  (Navigation  )",__||__,COD(Navigation code) +   LIG(Line number) +   __||__ FNC(Starting function) +   OBJ(Arrival object) +   LIG(Line number) +   ,COD(Navigation code) +   LIG(Line number) +    __||__   FNC(Starting function) +   OBJ(Arrival object) +   LIG(Line number) +   
ANAVIG,ANG,Navigation,Supervisor,,,,"AFONCTION  (Function dictionary  ) , ACTIV  (Activity codes  ) , AOBJET  (Basic objects  ) , ANAVIG  (Navigation  )",__||__,COD(Navigation code) +   __||__ FNC(Starting function) +   OBJ(Arrival object) +   ,COD(Navigation code) +    __||__   FNC(Starting function) +   OBJ(Arrival object) +   
ANNUAIRE,ANU,User directory,Supervisor,,,,ANNUAIRE  (User directory  ),,COD(Code) +   ,COD(Code) +   
BATCH,BTC,Batch job parameters,Financials,,,,ABATABT  (Batch server (recurring tasks)  ),__||__RQT(Query) +   ,COD(Task code) +   __||__ ,COD(Task code) +    __||__   RQT(Query) +   
AOBJBUR,AOA,Office documents,Supervisor,,,,"ATYPEPRO  (Content type  ) , AOBJET  (Basic objects  ) , COMPANY  (Company  )",,ABREV(Object code) +   IDENT1(Identifier 1) +   IDENT2(Identifier 2) +   IDENT3(Identifier 3) +   ,ABREV(Object code) +   IDENT1(Identifier 1) +   IDENT2(Identifier 2) +   IDENT3(Identifier 3) +   
AUTILIS,AUS,Users,Supervisor,,"Common data,Customer relation,Purchasing,Sales","Item,Service response,Purchase Requests,Request For Quotations,Normal Purchase Orders,Cumulative Purchase Orders,Purchase Returns,Sales Returns","AFONCTION  (Function dictionary  ) , ABIPRFUSR  (BI user profile  ) , ACCCOD  (Access codes  ) , AFCTFCT  (User function profile  ) , TABCUR  (Currency table  ) , APROFIL  (User profile  ) , AMETUTI  (Trade profile  ) , APRINTER  (Destinations  ) , ARCHPARU  (EDM user profile  ) , GACCCODE  (Accounting codes  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , WAREHOUSE  (Warehouses  )",__||__LOGIN(Login) +   ,USR(Code) +   __||__ ,USR(Code) +    __||__   LOGIN(Login) +   
AOBJBURMOD,AON,Default documents,Supervisor,,,,"ATABDIV  (Miscellaneous tables  ) , AOBJET  (Basic objects  ) , COMPANY  (Company  )",,ABREV(Object code) +   TRN(Transaction) +   CPY(Company) +   MODELE(Template code) +   ,ABREV(Object code) +   TRN(Transaction) +   CPY(Company) +   MODELE(Template code) +   
AOBJET,AOB,Basic objects,Supervisor,,,,"AFONCTION  (Function dictionary  ) , ACTIV  (Activity codes  ) , ATABLE  (Table dictionary  ) , AOBJET  (Basic objects  ) , AWRKLNK  (Data models  ) , AMSK  (Screen dictionary  ) , AVIEW  (Dictionary of views  )",__||__,ABREV(Object code) +   __||__ NOMFIC(Linked table) +   ABREV(Object code) +   ,ABREV(Object code) +    __||__   NOMFIC(Linked table) +   ABREV(Object code) +   
AOBJEXT,AOE,Import/export templates,Supervisor,,,,"AFONCTION  (Function dictionary  ) , ACTIV  (Activity codes  ) , ATABLE  (Table dictionary  ) , ACCCOD  (Access codes  ) , AOBJET  (Basic objects  ) , AOBJEXT  (Import/export templates  )",__||__,EXT(Template) +   __||__ OBJ(Object) +   EXT(Template) +   ,EXT(Template) +    __||__   OBJ(Object) +   EXT(Template) +   
AOBJEXTD,AOD,Object import/export lines,Supervisor,,,,"ATABLE  (Table dictionary  ) , AOBJEXT  (Import/export templates  ) , AOBJEXTR  (Transcribe import/export  )",,EXT(Template) +   NUMLIG(Line no.) +   ,EXT(Template) +   NUMLIG(Line no.) +   
AOBJEXTMP,AOW,Import/export temporary storage space,Supervisor,,,,AOBJEXT  (Import/export templates  ),__||__EXT(Template) +   NUMLOT(Lot no.) +   ,NUMLOT(Lot no.) +   __||__ ,NUMLOT(Lot no.) +    __||__   EXT(Template) +   NUMLOT(Lot no.) +   
AOBJEXTMPB,AOZ,Import/export temporary storage space,Supervisor,,,,,__||__,NUMLOT(Lot no.) +   NUMLIG(Line no.) +   __||__ NUMLOT-NUMLIG +   ,NUMLOT(Lot no.) +   NUMLIG(Line no.) +    __||__   NUMLOT-NUMLIG +   
AOBJEXTMPC,AOY,Import/export temporary storage space,Supervisor,,,,,__||__,NUMLOT(Lot no.) +   NUMLIG(Line no.) +   __||__ NUMLOT-NUMLIG +   ,NUMLOT(Lot no.) +   NUMLIG(Line no.) +    __||__   NUMLOT-NUMLIG +   
AOBJEXTMPD,AOV,Import/export temporary storage space,Supervisor,,,,,__||__NUMLOT(Lot no.) +   NUMLIG(Line no.) +   __||____||__,NUMLOT(Lot no.) +   NUMLIG(Line no.) +   FLDNUM(Field number) +   __||__ __||__ NUMLOT-NUMLIG +   FLDNUM(Field number) +   __||__ NUMLOT-NUMLIG +   AOVFIL(Table) +   AOVFLD(Field) +   FLDNUM(Field number) +   ,NUMLOT(Lot no.) +   NUMLIG(Line no.) +   FLDNUM(Field number) +    __||__   NUMLOT(Lot no.) +   NUMLIG(Line no.) +    __||__   NUMLOT-NUMLIG +   FLDNUM(Field number) +    __||__   NUMLOT-NUMLIG +   AOVFIL(Table) +   AOVFLD(Field) +   FLDNUM(Field number) +   
AOBJEXTMPE,AOU,Import/export temporary storage space,Supervisor,,,,,__||__,NUMLOT(Lot no.) +   NUMLIG(Line no.) +   FLDNUM(Field number) +   __||__ NUMLOT-NUMLIG +   FLDNUM(Field number) +   ,NUMLOT(Lot no.) +   NUMLIG(Line no.) +   FLDNUM(Field number) +    __||__   NUMLOT-NUMLIG +   FLDNUM(Field number) +   
AOBJEXTR,AOR,Transcribe import/export,Supervisor,,,,,__||____||__,NUMTAB(Table number) +   NUMLIG(Line no.) +   __||__ NUMTAB(Table number) +   CODEXT(Code transcribed) +   NUMLIG(Line no.) +   __||__ NUMTAB(Table number) +   CODLOC(Code to transcribe) +   NUMLIG(Line no.) +   ,NUMTAB(Table number) +   NUMLIG(Line no.) +    __||__   NUMTAB(Table number) +   CODEXT(Code transcribed) +   NUMLIG(Line no.) +    __||__   NUMTAB(Table number) +   CODLOC(Code to transcribe) +   NUMLIG(Line no.) +   
AOBJLNK,AOK,Link explorer,Supervisor,,,,"ATABDIV  (Miscellaneous tables  ) , AOBJET  (Basic objects  )",,SRCOBJ(Source object) +   LIN(Line no.) +   ,SRCOBJ(Source object) +   LIN(Line no.) +   
AOBJLST,AOL,Basic objects,Supervisor,,,,"ATABLE  (Table dictionary  ) , ATYPE  (Data types  ) , AOBJET  (Basic objects  )",,ABREV(Object code) +   ,ABREV(Object code) +   
AOBJPROP,AOP,Object properties,Supervisor,,,,"ATABLE  (Table dictionary  ) , AOBJET  (Basic objects  )",,OBJ(Object) +   NUM(Number) +   ,OBJ(Object) +   NUM(Number) +   
AOBJSEL,AOS,Select memo file,Supervisor,,,,ATABLE  (Table dictionary  ),__||__,CODE(Object code) +   MEMO(Memo code) +   ALL(All) +   USR(User code) +   __||__ CODE(Object code) +   NUMORD() +   ALL(All) +   ,CODE(Object code) +   MEMO(Memo code) +   ALL(All) +   USR(User code) +    __||__   CODE(Object code) +   NUMORD() +   ALL(All) +   
APATCHLOG,APL,Patch tracking,Supervisor,,,,ADOSSIER  (Folder table  ),,AFOLDER(Folder) +   AUPDATE(Updates) +   IDENT(Identifier) +   ,AFOLDER(Folder) +   AUPDATE(Updates) +   IDENT(Identifier) +   
AOBJTAB,AOT,Object table,Supervisor,,,,"ACTIV  (Activity codes  ) , ATABLE  (Table dictionary  ) , AOBJET  (Basic objects  )",__||__,ABREV(Object code) +   NUMLIG(Line no.) +   __||__ ABREV(Object code) +   TABFIC(Tables to open) +   TABABR(Table abbreviation) +   ,ABREV(Object code) +   NUMLIG(Line no.) +    __||__   ABREV(Object code) +   TABFIC(Tables to open) +   TABABR(Table abbreviation) +   
AOBJTXT,AOX,Attachments,Supervisor,,,,"ATABDIV  (Miscellaneous tables  ) , AOBJET  (Basic objects  )",,ABREV(Object code) +   IDENT1(Identifier 1) +   IDENT2(Identifier 2) +   IDENT3(Identifier 3) +   ,ABREV(Object code) +   IDENT1(Identifier 1) +   IDENT2(Identifier 2) +   IDENT3(Identifier 3) +   
APATCHLOGD,APLD,Patch tracking,Supervisor,,,,ADOSSIER  (Folder table  ),,AFOLDER(Folder) +   AUPDATE(Updates) +   IDENT(Identifier) +   TYP(Type) +   LINE(Line) +   ,AFOLDER(Folder) +   AUPDATE(Updates) +   IDENT(Identifier) +   TYP(Type) +   LINE(Line) +   
AOBJTXTA,AOM,Key word table,Supervisor,,,,AOBJET  (Basic objects  ),__||__,ABREV(Object code) +   IDENT1(Identifier 1) +   IDENT2(Identifier 2) +   IDENT3(Identifier 3) +   MOTCLE(Key word) +   __||__ MOTCLE(Key word) +   ABREV(Object code) +   IDENT1(Identifier 1) +   IDENT2(Identifier 2) +   IDENT3(Identifier 3) +   ,ABREV(Object code) +   IDENT1(Identifier 1) +   IDENT2(Identifier 2) +   IDENT3(Identifier 3) +   MOTCLE(Key word) +    __||__   MOTCLE(Key word) +   ABREV(Object code) +   IDENT1(Identifier 1) +   IDENT2(Identifier 2) +   IDENT3(Identifier 3) +   
APARIMPEXP,APX,Import/export parameters,Supervisor,,,,,,COD(Code) +   ,COD(Code) +   
APATCHTMP,APATMP,Patch integration,Supervisor,,,,"ADOSSIER  (Folder table  ) , AVOLUME  (Volume  )",,NUMREQ(Query no.) +   FICNAM(File name) +   FOLD(Folder) +   ,NUMREQ(Query no.) +   FICNAM(File name) +   FOLD(Folder) +   
APATCH,APT,Patch tracking,Supervisor,,,,,__||__FIC(File) +   __||__TYP(Type) +   VER +   NUMP(No.) +   ,NUM(Number) +   __||__ __||__ ,NUM(Number) +    __||__   FIC(File) +    __||__   TYP(Type) +   VER +   NUMP(No.) +   
APOOLBRG,APB,Pool of the java bridge,Supervisor,,,,"ADOSSIER  (Folder table  ) , TABLAN  (Language table  )",,POOLALIAS(Pool alias) +   ,POOLALIAS(Pool alias) +   
APATCHMOD,APH,Setup templates,Supervisor,,,,"ACTIV  (Activity codes  ) , AWRKLNK  (Data models  ) , APATCHMOD  (Setup templates  ) , ATRANSAC  (Transaction type  )",,MODPAT(Template code) +   NUMLIG(Line no.) +   ,MODPAT(Template code) +   NUMLIG(Line no.) +   
APOOLWS,APW,Web services pool,Supervisor,,,,"ADOSSIER  (Folder table  ) , TABLAN  (Language table  )",__||__,CLE(Key) +   __||__ SOLUTION(Solution) +   DOSSIER(Folder) +   SWEBALIAS(Web server alias) +   POOLALIAS(Pool alias) +   ,CLE(Key) +    __||__   SOLUTION(Solution) +   DOSSIER(Folder) +   SWEBALIAS(Web server alias) +   POOLALIAS(Pool alias) +   
APLCOM,ACM,Sequence number definition,Supervisor,,,,,,COMNOM(Name) +   COMIND(Index) +   ,COMNOM(Name) +   COMIND(Index) +   
AREPORT,ARP,Report dictionary,Supervisor,,,,"ADOSSIER  (Folder table  ) , TABLAN  (Language table  ) , ABATHOR  (Hourly constraints  ) , AFONCTION  (Function dictionary  ) , ACTIV  (Activity codes  ) , ACCCOD  (Access codes  ) , AREPORT  (Report dictionary  ) , APRINTER  (Destinations  ) , AREPORTZ  (ZPL reports  )",__||__,RPTCOD(Report code) +   __||__ GRP(Group) +   RPTCOD(Report code) +   ,RPTCOD(Report code) +    __||__   GRP(Group) +   RPTCOD(Report code) +   
APLCOMH,ACMH,Sequence number definition,Supervisor,,,,,,COMNOM(Name) +   ,COMNOM(Name) +   
APLLCK,ALK,Lock table,Supervisor,,,,,__||__LCKPID(Process no.) +   LCKFLG(Transaction flag) +   ,LCKSYM(Symbol) +   LCKIND(Index) +   __||__ ,LCKSYM(Symbol) +   LCKIND(Index) +    __||__   LCKPID(Process no.) +   LCKFLG(Transaction flag) +   
APLSTD,AST,Local menus,Supervisor,,,,TABLAN  (Language table  ),__||__,LANCHP(Chapter) +   LANNUM(Number) +   LAN(Language) +   __||__ LAN(Language) +   LANCHP(Chapter) +   LANNUM(Number) +   ,LANCHP(Chapter) +   LANNUM(Number) +   LAN(Language) +    __||__   LAN(Language) +   LANCHP(Chapter) +   LANNUM(Number) +   
AUSRSTA,AUA,Statistics,Supervisor,,,,ADOSSIER  (Folder table  ),__||__,NUM(Number) +   __||__ DOSSIER(Folder) +   USR(User code) +   PER(Period) +   EVT(Event) +   ARG1(Argument 1) +   ARG2(Argument 2) +   ,NUM(Number) +    __||__   DOSSIER(Folder) +   USR(User code) +   PER(Period) +   EVT(Event) +   ARG1(Argument 1) +   ARG2(Argument 2) +   
APORTMOD,AMO,Dashboard modules,Supervisor,,,,APORTVIG  (Gadgets  ),__||__VIGNETTE(Gadget) +   CODUSR(User) +   ,CODUSR(User) +   CODTAB(Tab) +   CODMOD(Module) +   __||__ ,CODUSR(User) +   CODTAB(Tab) +   CODMOD(Module) +    __||__   VIGNETTE(Gadget) +   CODUSR(User) +   
APORTTAB,APA,Dashboard gadgets,Supervisor,,,,,,CODUSR(User) +   CODTAB(Tab) +   ,CODUSR(User) +   CODTAB(Tab) +   
APORTTYP,ATP,Gadget group,Supervisor,,,,,,CODFA(Family code) +   ,CODFA(Family code) +   
APORTUSER,APU,User dashboard,Supervisor,,,,,,CODUSR(User) +   ,CODUSR(User) +   
APORTVIG,AVP,Gadgets,Supervisor,,,,"ACTIV  (Activity codes  ) , ACCCOD  (Access codes  ) , APORTVIG  (Gadgets  ) , APORTTYP  (Gadget group  )",__||__,CODVI(Gadget code) +   __||__ MENUR(Connection menu) +   RANGR(Sequence) +   CODVI(Gadget code) +   ,CODVI(Gadget code) +    __||__   MENUR(Connection menu) +   RANGR(Sequence) +   CODVI(Gadget code) +   
APRINTDES,AID,Printer description,Supervisor,,,,APRINTER  (Destinations  ),,COD(Code) +   NUM(Number) +   ,COD(Code) +   NUM(Number) +   
APRINTER,AIM,Destinations,Supervisor,,,,"ACCCOD  (Access codes  ) , APRINTER  (Destinations  )",,COD(Code) +   ,COD(Code) +   
APROCESSUS,APR,Processes,Supervisor,,,,"TABLAN  (Language table  ) , ACTIV  (Activity codes  ) , ACCCOD  (Access codes  ) , ATABDIV  (Miscellaneous tables  )",__||__CODPRO(Process code) +   __||__,CODLEG(Legislation) +   CODPRO(Process code) +   __||__ __||__ CODPRO(Process code) +   CODLEG(Legislation) +   ,CODLEG(Legislation) +   CODPRO(Process code) +    __||__   CODPRO(Process code) +    __||__   CODPRO(Process code) +   CODLEG(Legislation) +   
APROCTEXTE,AXP,Process texts,Supervisor,,,,"TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  ) , APROCESSUS  (Processes  )",__||__,CODPRO(Process code) +   CODLEG(Legislation) +   LANG(Language) +   UNIQIDP(Key) +   __||__ LANG(Language) +   CODPRO(Process code) +   CODLEG(Legislation) +   UNIQIDP(Key) +   ,CODPRO(Process code) +   CODLEG(Legislation) +   LANG(Language) +   UNIQIDP(Key) +    __||__   LANG(Language) +   CODPRO(Process code) +   CODLEG(Legislation) +   UNIQIDP(Key) +   
APROFIL,APF,User profile,Supervisor,,,,APROFIL  (User profile  ),__||__,MODULE(Module) +   CODPRF(Profile code) +   __||__ CODPRF(Profile code) +   MODULE(Module) +   ,MODULE(Module) +   CODPRF(Profile code) +    __||__   CODPRF(Profile code) +   MODULE(Module) +   
APROMEN,APO,Process menu,Supervisor,,,,"ATABDIV  (Miscellaneous tables  ) , APROCESSUS  (Processes  )",__||__CODMEN(Menu code) +   __||__,LEG(Legislation) +   CODMEN(Menu code) +   __||__ __||__ CODMEN(Menu code) +   LEG(Legislation) +   ,LEG(Legislation) +   CODMEN(Menu code) +    __||__   CODMEN(Menu code) +    __||__   CODMEN(Menu code) +   LEG(Legislation) +   
